biomaterial_id	bundle_uuid	project_name	source_id	tissue_group	files_directory	loom_filename	technology	seq_unit	diagnosis	organ	organ_part	selected_cell_types
SRX7129193	734f9853-f39b-543f-bf9c-342d9431a4ac	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	6141d7de-4b8c-4978-82e9-c93a439e785f.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129196	81e31fc0-ca7d-5697-92bc-7458b9bc2bca	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	f89aaa2c-2c5d-42fa-80ec-53b9d1851911.loom	10Xv2	nucleus	normal	brain	cortex	NA
SRX7129192	8cd6b2b3-32b4-5a1f-8562-61ee76631c62	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	0c34828c-31c4-467e-a3fc-79aed780e716.loom	10Xv2	nucleus	normal	brain	cortex	NA
SRX7129194	ce16e9e3-a705-5b8a-86b0-ae882679ab80	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	4bd9729f-3ee2-4d58-b528-9f1ba0d4cb7a.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129199	04088b05-6eb9-53b7-a5f0-bf7c3fd23fe7	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	3b7a8f88-f40b-455c-8cde-9481a00d2555.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129198	c4ed9481-ddfc-5869-aa0a-20e8bb94d744	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	131a480f-2466-44d1-9b4f-08fbd64c5e2d.loom	10Xv2	nucleus	normal	brain	cortex	NA
SRX7129197	89771a00-45d9-5ccb-b3b8-e1f316753905	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	3139f2c6-96f4-4441-b01d-b7d256b7ed6c.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129202	7c8fc5ac-2a8a-5857-93b5-3ec66260fbb0	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	b2007eb4-c693-4c69-af6a-2ee2269ac0a6.loom	10Xv2	nucleus	normal	brain	cortex	NA
SRX7129203	c9b45b64-10c7-56bc-a2c9-a8ef07acac17	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	7a92be67-1c9c-4e34-8db8-94dacf514e90.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129195	ce08350b-1448-5033-b43a-ce6f1737151c	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	b4a04888-ba6f-46be-b7dd-78b8df11aa2e.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129201	dbe3a518-b452-5b0d-b856-aa958586ce7d	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	a877926b-d7ee-4386-8651-e7f107e50a3c.loom	10Xv2	nucleus	normal	brain	substantia nigra	NA
SRX7129200	aacc0f02-9d8d-5466-b5ce-c567afd21f9a	HumanBrainSubstantiaNigra	5afd43d9-bfbf-43d7-b904-3ad94e7e87d9	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	9e15bacc-9639-4241-a95b-faf9b06da459.loom	10Xv2	nucleus	normal	brain	cortex	NA
MS242_CA2_NS	23d49724-f1be-5e89-9fd5-40f975113b94	Oligodendrocyte_MS	deb0ddec-b8c0-40e2-a2c2-695b171628e5	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	31483ee7-48a9-49d7-9ce5-c6e129bcb397.loom	10Xv2	nucleus	multiple sclerosis	brain	NA	NA
Control_CO28_NS	ee374b05-5d92-54f4-8370-3ed97edf61af	Oligodendrocyte_MS	deb0ddec-b8c0-40e2-a2c2-695b171628e5	brain	s3://ccdl-scpca-data/human_cell_atlas_data/brain	d24b2758-62f6-48ed-b6fa-61322dd83ecf.loom	10Xv2	nucleus	normal	brain	NA	NA
